StateCode,Division,YearMonth,PCP,TAVG,PDSI,PHDI,ZNDX,PMDI,CDD,HDD,SP01,SP02,SP03,SP06,SP09,SP12,SP24,TMIN,TMAX,X
32,5,189910,1.15,40.4,-0.29,0.69,0.48,-0.06,0,763,0.25,-0.62,-0.2,-0.35,-0.44,-0.79,-0.96,29.2,51.5,NA
32,5,189911,0.44,34.5,-0.49,-0.49,-0.69,-0.49,0,915,-0.05,0.02,-0.71,-0.73,-0.39,-0.69,-0.93,24.9,44,NA
32,5,189912,0.49,10.5,-0.41,-0.41,0.1,-0.41,0,1690,0.15,-0.09,-0.03,-0.66,-0.45,-0.58,-0.82,1,20.1,NA
32,5,190001,0.25,14,-0.61,-0.61,-0.73,-0.61,0,1581,-0.56,-0.33,-0.4,-0.41,-0.46,-0.55,-0.78,3.7,24.3,NA
32,5,190002,0.41,0.5,-0.59,-0.59,-0.11,-0.59,0,1806,0.16,-0.44,-0.28,-0.82,-0.82,-0.46,-0.75,-10.6,11.6,NA
32,5,190003,0.89,19.6,-0.47,-0.47,0.17,-0.47,0,1407,0.47,0.31,-0.08,-0.1,-0.67,-0.46,-0.67,9.8,29.4,NA
32,5,190004,0.55,50,-1.56,-1.56,-3.41,-1.56,10,460,-1,-0.62,-0.66,-0.92,-0.72,-0.68,-0.86,36.2,63.7,NA
32,5,190005,1.01,59.5,-2.75,-2.75,-4.05,-2.75,49,219,-1.12,-1.55,-1.34,-1.52,-1.54,-1.43,-1.32,43.8,75.2,NA
32,5,190006,1.66,66.9,-3.96,-3.96,-4.48,-3.96,129,72,-1.44,-1.72,-1.93,-1.89,-1.72,-1.72,-1.44,53,80.8,NA
32,5,190007,3.16,67.7,-3.73,-3.73,-0.52,-3.73,139,55,0.45,-0.71,-1.21,-1.36,-1.46,-1.27,-1.31,53.1,82.3,NA
32,5,190008,4.95,70.1,1.3,-2.05,3.89,-0.46,186,28,1.94,1.54,0.56,-0.31,-0.42,-0.7,-0.74,58.1,82,NA
32,5,190009,4.71,54.6,3.12,3.12,5.88,3.12,9,321,2.09,2.69,2.43,0.68,0.63,0.51,0.1,43.7,65.6,NA
32,5,190010,1.17,46.9,2.99,2.99,0.57,2.99,0,561,0.27,1.67,2.44,0.94,0.65,0.52,-0.21,36.2,57.7,NA
32,5,190011,0.43,18.2,-0.05,2.63,-0.16,2.5,0,1404,-0.07,0.03,1.52,1.44,0.57,0.5,-0.16,10.2,26.3,NA
32,5,190012,0.37,14.3,-0.07,2.34,-0.06,2.12,0,1572,-0.26,-0.35,-0.13,2.08,0.51,0.46,0,5,23.6,NA
32,5,190101,0.06,5.4,-0.43,1.73,-1.11,1,0,1848,-1.89,-1.27,-1.01,2.11,0.65,0.38,-0.02,-3.7,14.6,NA
32,5,190102,0.34,4.6,-0.45,1.49,-0.18,0.66,0,1691,-0.08,-1.24,-1.2,1.18,1.21,0.35,0.02,-5.2,14.5,NA
32,5,190103,0.73,24,-0.41,1.32,-0.04,0.46,0,1271,0.16,-0.1,-0.79,-0.54,1.82,0.34,-0.02,15.4,32.5,NA
32,5,190104,0.8,43.7,-0.91,0.64,-1.63,-0.81,0,639,-0.56,-0.5,-0.64,-1.25,1.72,0.36,-0.1,32.2,55.2,NA
32,5,190105,0.11,59.9,-2.61,-2.61,-5.36,-2.61,53,211,-2.39,-2.13,-2.05,-2.59,-0.24,0.16,-0.96,44.6,75.3,NA
32,5,190106,6.65,62.6,1.49,-0.85,4.47,1.12,65,137,1.86,0.43,0.11,-0.14,-0.26,1.66,-0.2,51.8,73.4,NA
32,5,190107,4.38,71.9,2.37,2.37,3.09,2.37,233,19,1.16,2.23,1,0.6,0.31,1.84,0.39,60.5,83.2,NA
32,5,190108,1.81,66.6,2.06,2.06,-0.2,1.91,116,66,-0.24,0.69,1.83,0.46,0.24,0.98,0.19,52.9,80.4,NA
32,5,190109,1.88,52.9,2.18,2.18,1,2.18,6,369,0.4,-0.01,0.7,0.55,0.37,0.23,0.5,41.2,64.6,NA
32,5,190110,1.63,46.6,2.2,2.2,0.73,2.2,0,570,0.67,0.55,0.22,0.87,0.59,0.35,0.62,33.6,59.5,NA
32,5,190111,0.07,25,1.55,1.55,-1.26,0.92,0,1200,-1.33,0.12,0.23,1.55,0.43,0.23,0.53,13.9,36,NA
32,5,190112,1.11,10.5,2.07,2.07,2.05,2.07,0,1690,1.64,0.32,0.57,0.82,0.65,0.47,0.69,2.3,18.7,NA
32,5,190201,0.06,10.4,1.47,1.47,-1.16,0.87,0,1693,-1.89,0.57,-0.31,0.03,0.71,0.44,0.65,0.7,20.2,NA
32,5,190202,1,9.1,1.91,1.91,1.76,1.91,0,1565,1.48,0.46,1.21,0.6,1.75,0.64,0.74,0.6,17.6,NA
32,5,190203,2.41,25.8,3.27,3.27,4.69,3.27,0,1215,2.39,2.77,2.26,1.47,1.36,1.17,1.03,18.4,33.4,NA
32,5,190204,0.98,40.1,2.96,2.96,0.08,2.93,0,747,-0.29,1.17,1.52,1.14,0.73,1.27,1.13,29.2,51,NA
32,5,190205,3.81,56.4,3.66,3.66,3.01,3.66,26,292,0.98,0.61,1.37,1.68,1.25,2.31,2.05,44.8,68.1,NA
32,5,190206,4.35,58.6,4.35,4.35,3.18,4.35,26,218,0.7,1.11,0.82,1.56,1.58,1.67,3.08,47.6,69.5,NA
32,5,190207,2.16,67.8,4.38,4.38,1.46,4.38,141,54,-0.32,0.18,0.65,1.29,1.12,0.88,2.15,54.9,80.8,NA
32,5,190208,2.48,64.2,4.74,4.74,2.43,4.74,78,103,0.39,-0.12,0.22,1.02,1.31,1.08,1.54,51.4,77,NA
32,5,190209,0.58,52.9,-0.3,3.95,-0.91,3.55,6,369,-1.1,-0.44,-0.65,0.14,0.71,0.79,0.72,38.5,67.4,NA
32,5,190210,1.31,42.2,0.3,3.84,0.9,3.72,0,707,0.4,-0.52,-0.3,0.26,0.85,0.73,0.78,29.5,54.9,NA
32,5,190211,0.17,26.7,-0.23,3.21,-0.7,2.78,0,1149,-0.82,-0.08,-0.83,-0.29,0.49,0.74,0.71,18.6,34.8,NA
32,5,190212,0.29,5.5,-0.28,2.81,-0.22,2.24,0,1844,-0.58,-1.28,-0.32,-0.82,-0.08,0.47,0.7,-3.8,14.8,NA
32,5,190301,0.65,8,0.26,2.78,0.79,2.46,0,1767,0.75,0.12,-0.52,-0.54,0.09,0.64,0.81,-2,17.9,NA
32,5,190302,0.37,0.6,0.29,2.55,0.16,2.22,0,1803,0.02,0.38,0.02,-0.81,-0.33,0.43,0.79,-10.8,12,NA
32,5,190303,0.5,20.4,-0.08,2.21,-0.23,1.75,0,1383,-0.39,-0.5,-0.13,-0.37,-0.83,-0.11,0.76,11.1,29.6,NA
32,5,190304,0.95,42,-0.33,1.72,-0.79,0.92,0,690,-0.33,-0.61,-0.7,-1.03,-0.85,-0.18,0.8,30,54,NA
32,5,190305,2.28,53.8,-0.24,1.6,0.17,0.84,15,362,0,-0.32,-0.44,-0.51,-0.92,-0.6,1.38,40.9,66.7,NA
32,5,190306,1.26,62.9,-1.36,-1.36,-3.42,-1.36,69,132,-1.98,-1.24,-1.31,-1.33,-1.37,-1.47,0.02,49.7,76,NA
32,5,190307,1.55,67.2,-2.02,-2.02,-2.39,-2.02,130,62,-0.95,-1.9,-1.51,-1.63,-1.74,-1.54,-0.54,54.2,80.2,NA
32,5,190308,4.91,63.1,1.73,1.73,5.2,1.73,62,121,1.92,0.81,-0.33,-0.57,-0.64,-0.91,0.11,51.9,74.3,NA
32,5,190309,2.25,50.7,2.36,2.36,2.42,2.36,0,429,0.68,1.75,0.96,-0.25,-0.3,-0.46,0.21,39.6,61.7,NA
32,5,190310,0.66,45.1,-0.13,1.99,-0.39,1.76,0,617,-0.33,0.2,1.35,-0.34,-0.58,-0.74,-0.02,32.5,57.6,NA
32,5,190311,0.22,22.5,-0.43,1.47,-0.95,0.76,0,1275,-0.64,-0.78,-0.04,-0.37,-0.64,-0.7,0.01,12.3,32.7,NA
32,5,190312,0.59,8.5,-0.27,1.43,0.34,0.83,0,1752,0.45,-0.33,-0.65,0.56,-0.54,-0.59,0,-1.3,18.2,NA
32,5,190401,0.3,1,-0.46,1.07,-0.64,0.17,0,1984,-0.35,0.02,-0.52,1.09,-0.48,-0.7,0.05,-8,9.9,NA
32,5,190402,0.54,-3.4,-0.33,1.04,0.24,0.23,0,1915,0.53,0,0.22,-0.02,-0.36,-0.62,-0.05,-13.7,7,NA
32,5,190403,0.8,17,-0.33,0.9,-0.09,0.05,0,1488,0.3,0.38,0.05,-0.53,0.52,-0.52,-0.38,7.8,26.3,NA
32,5,190404,1.39,37.4,-0.17,0.93,0.37,0.21,0,828,0.21,0.21,0.26,-0.16,1.01,-0.44,-0.3,28.6,46.2,NA
32,5,190405,1.57,53.8,-0.53,-0.53,-1.14,-0.53,15,362,-0.57,-0.5,-0.42,-0.41,-0.4,-0.61,-0.94,41.2,66.4,NA
32,5,190406,6.72,60.9,1.84,1.84,5.53,1.84,45,168,1.89,1.17,1.06,1.01,0.56,1.03,-0.43,49.8,72,NA
32,5,190407,2.73,63.6,2.37,2.37,2.16,2.37,73,117,0.15,1.56,0.95,0.9,0.69,1.27,-0.25,50.1,77.1,NA
32,5,190408,1.39,62.2,2.24,2.24,0.34,2.24,50,137,-0.76,-0.43,1.01,0.5,0.51,0.3,-0.46,48.3,76.2,NA
32,5,190409,1,54.2,-0.15,1.86,-0.45,1.59,8,332,-0.48,-0.98,-0.71,0.28,0.27,-0.02,-0.41,41.5,66.9,NA
32,5,190410,0.75,45.7,-0.39,1.42,-0.75,0.76,0,598,-0.21,-0.64,-1.09,0.08,0.11,-0.04,-0.56,33.8,57.5,NA
32,5,190411,0.23,33.9,-0.72,0.9,-1.12,-0.28,0,933,-0.6,-0.64,-0.9,0.36,-0.03,-0.03,-0.54,21.2,46.7,NA
32,5,190412,0.88,12.3,-0.18,1.27,1.39,0.67,0,1634,1.17,0.22,-0.23,-0.83,0.09,0.06,-0.29,2.4,22.3,NA
32,5,190501,0.26,-1.3,-0.34,0.96,-0.53,0.13,0,2055,-0.52,0.52,-0.11,-1.13,0,0.03,-0.37,-11.9,9.2,NA
32,5,190502,0.32,7.4,-0.38,0.79,-0.22,-0.12,0,1613,-0.16,-0.66,0.27,-0.76,0.36,-0.03,-0.37,-5,19.9,NA
32,5,190503,0.94,32.2,-0.17,0.88,0.51,0.15,0,1017,0.56,0.24,-0.13,-0.3,-0.84,0.05,-0.27,21.9,42.5,NA
32,5,190504,0.61,39.5,-0.53,-0.53,-1.15,-0.53,0,765,-0.89,-0.48,-0.64,-0.71,-1.3,-0.25,-0.35,26.6,52.3,NA
32,5,190505,2.69,49.4,0.54,0.54,1.61,0.54,6,489,0.29,-0.28,-0.13,-0.11,-0.67,0.17,-0.41,38,60.9,NA
32,5,190506,4.38,59.6,1.28,1.28,2.4,1.28,34,196,0.72,0.58,0.17,0.08,-0.11,-0.57,0.3,49.2,69.9,NA
32,5,190507,3.78,65.3,2.28,2.28,3.4,2.28,98,89,0.83,0.97,0.87,0.49,0.4,-0.24,0.78,53.5,77.1,NA
32,5,190508,2.4,67.4,2.58,2.58,1.59,2.58,130,55,0.32,0.68,0.89,0.56,0.59,0.04,0.25,54.5,80.2,NA
32,5,190509,1.55,59.6,2.32,2.32,0.02,2.26,33,195,0.11,0.16,0.56,0.48,0.42,0.24,0.11,45.3,73.9,NA
32,5,190510,0.37,39.3,1.81,1.81,-0.8,1.35,0,797,-0.86,-0.5,-0.33,0.43,0.16,0.1,0.04,28.6,50,NA
32,5,190511,1.43,29.9,2.43,2.43,2.41,2.43,0,1053,1.37,0.21,0.09,0.74,0.45,0.48,0.32,20.2,39.7,NA
